Symbol,RoePercent,RocePercent,DebtEquityRatio,BookValuePerShare,MarketCapCr
NUVAMA,27.4,17.5,2.2455,226.0,32015.0
NUVOCO,2.85,6.32,0.415,264.0,11502.0
ONGC,11.6,14.2,0.4347,296.0,297398.0
OLAELEC,-43.2,-19.6,-2.386,7.6,17463.0
PAYTM,4.7,5.01,0.0118,250.0,104633.0
ONESOURCE,0.45,2.06,0.2164,519.0,17602.0
POLICYBZR,9.75,10.3,0.0387,158.0,83063.0
PGEL,6.69,10.3,0.1259,107.0,17202.0
PIIND,14.2,18.0,0.043,749.0,37881.0
PTCIL,7.02,8.43,0.6384,1005.0,30928.0
PATANJALI,16.5,12.0,-1.2583,120.0,37866.0
PERSISTENT,26.8,35.6,0.0193,425.0,89405.0
PFIZER,19.8,27.2,0.2503,302.0,22774.0
PWL,-0.48,4.02,-0.8396,15.8,35051.0
PINELABS,2.46,4.16,0.0647,51.3,18105.0
PIRAMALFIN,0.86,6.47,3.1402,1242.0,49434.0
PPLPHARMA,-3.83,2.52,0.4597,61.4,28447.0
POLYMED,9.02,12.5,0.1023,306.0,17428.0
POLYCAB,23.0,33.2,0.0178,798.0,135097.0
POONAWALLA,5.86,7.51,0.0,127.0,43150.0
PFC,20.7,9.71,0.0,433.0,119794.0
POWERGRID,15.3,9.1,1.6226,108.0,253348.0
PREMIERENE,42.4,33.3,0.8297,95.1,47801.0
PRESTIGE,7.53,10.4,0.7431,378.0,70252.0
PFOCUS,16.5,11.5,164.08,26.9,23126.0
PNB,13.0,6.13,0.0,136.0,133950.0
RRKABEL,21.3,28.1,0.0991,228.0,33019.0
RBLBANK,5.43,5.81,0.0,271.0,60842.0
RECLTD,20.1,9.71,0.0,321.0,86014.0
RHIM,2.91,6.52,0.1258,172.0,7749.0
RITES,15.4,22.0,0.0108,55.8,10481.0
RADICO,20.3,24.2,0.0915,248.0,62165.0
RVNL,9.02,10.8,0.9168,47.1,46976.0
RAILTEL,12.0,16.2,0.0244,53.7,9219.0
RAINBOW,15.9,17.4,0.5585,162.0,14557.0
RKFORGE,2.51,5.6,1.2239,181.0,13427.0
REDINGTON,16.9,18.4,0.12,130.0,27405.0
RELIANCE,8.91,10.3,0.4458,668.0,1780882.0
RPOWER,-0.9,6.11,1.9947,38.8,9698.0
SBFC,11.6,11.6,0.0,29.4,10409.0
SRF,14.3,14.6,0.3539,474.0,76238.0
SAILIFE,15.4,19.6,0.1159,117.0,30940.0
MOTHERSON,11.2,13.4,0.6293,38.8,178771.0
SAPPHIRE,-1.99,2.99,0.8775,38.3,7788.0
SAREGAMA,13.0,17.8,0.0007,87.8,9767.0
SHREECEM,7.51,10.3,0.1142,6449.0,87604.0
SHRIRAMFIN,16.4,11.5,0.0,349.0,265887.0
